E:\Anaconda3_4.2.0_64bit\python.exe D:/code/deep_learning_test/cnn/added_lrn_l2_cnn_cifar_10_data.py
Filling queue with 20000 CIFAR images before starting to train. This will take a few minutes.
Tensor("Reshape_2:0", shape=(128, 2304), dtype=float32)
<tf.Variable 'Variable_4:0' shape=(2304, 384) dtype=float32_ref>
Tensor("Relu_2:0", shape=(128, 384), dtype=float32)
<tf.Variable 'Variable_6:0' shape=(384, 192) dtype=float32_ref>
Tensor("Relu_3:0", shape=(128, 192), dtype=float32)
<tf.Variable 'Variable_8:0' shape=(192, 10) dtype=float32_ref>
2018-03-25 20:36:25.141522: W c:\tf_jenkins\home\workspace\release-win\device\gpu\os\windows\tensorflow\core\platform\cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE instructions, but these are available on your machine and could speed up CPU computations.
2018-03-25 20:36:25.142012: W c:\tf_jenkins\home\workspace\release-win\device\gpu\os\windows\tensorflow\core\platform\cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE2 instructions, but these are available on your machine and could speed up CPU computations.
2018-03-25 20:36:25.142521: W c:\tf_jenkins\home\workspace\release-win\device\gpu\os\windows\tensorflow\core\platform\cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE3 instructions, but these are available on your machine and could speed up CPU computations.
2018-03-25 20:36:25.143019: W c:\tf_jenkins\home\workspace\release-win\device\gpu\os\windows\tensorflow\core\platform\cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.1 instructions, but these are available on your machine and could speed up CPU computations.
2018-03-25 20:36:25.143508: W c:\tf_jenkins\home\workspace\release-win\device\gpu\os\windows\tensorflow\core\platform\cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.2 instructions, but these are available on your machine and could speed up CPU computations.
2018-03-25 20:36:25.143990: W c:\tf_jenkins\home\workspace\release-win\device\gpu\os\windows\tensorflow\core\platform\cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX instructions, but these are available on your machine and could speed up CPU computations.
2018-03-25 20:36:25.144608: W c:\tf_jenkins\home\workspace\release-win\device\gpu\os\windows\tensorflow\core\platform\cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX2 instructions, but these are available on your machine and could speed up CPU computations.
2018-03-25 20:36:25.146499: W c:\tf_jenkins\home\workspace\release-win\device\gpu\os\windows\tensorflow\core\platform\cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use FMA instructions, but these are available on your machine and could speed up CPU computations.
2018-03-25 20:36:26.005786: I c:\tf_jenkins\home\workspace\release-win\device\gpu\os\windows\tensorflow\core\common_runtime\gpu\gpu_device.cc:887] Found device 0 with properties:
name: GeForce GTX 950M
major: 5 minor: 0 memoryClockRate (GHz) 1.124
pciBusID 0000:01:00.0
Total memory: 4.00GiB
Free memory: 3.35GiB
2018-03-25 20:36:26.006274: I c:\tf_jenkins\home\workspace\release-win\device\gpu\os\windows\tensorflow\core\common_runtime\gpu\gpu_device.cc:908] DMA: 0
2018-03-25 20:36:26.006509: I c:\tf_jenkins\home\workspace\release-win\device\gpu\os\windows\tensorflow\core\common_runtime\gpu\gpu_device.cc:918] 0:   Y
2018-03-25 20:36:26.006799: I c:\tf_jenkins\home\workspace\release-win\device\gpu\os\windows\tensorflow\core\common_runtime\gpu\gpu_device.cc:977] Creating TensorFlow device (/gpu:0) -> (device: 0, name: GeForce GTX 950M, pci bus id: 0000:01:00.0)
step 0,loss=4.68 (0.4 examples/sec; 293.423 sec/batch)
step 10,loss=3.67 (149.1 examples/sec; 0.859 sec/batch)
step 20,loss=3.14 (184.4 examples/sec; 0.694 sec/batch)
step 30,loss=2.75 (354.5 examples/sec; 0.361 sec/batch)
step 40,loss=2.42 (179.1 examples/sec; 0.715 sec/batch)
step 50,loss=2.33 (234.8 examples/sec; 0.545 sec/batch)
step 60,loss=2.22 (239.3 examples/sec; 0.535 sec/batch)
step 70,loss=2.08 (588.3 examples/sec; 0.218 sec/batch)
step 80,loss=1.97 (225.8 examples/sec; 0.567 sec/batch)
step 90,loss=1.98 (183.0 examples/sec; 0.700 sec/batch)
step 100,loss=1.98 (233.9 examples/sec; 0.547 sec/batch)
step 110,loss=1.94 (585.6 examples/sec; 0.219 sec/batch)
step 120,loss=1.81 (354.1 examples/sec; 0.361 sec/batch)
step 130,loss=1.83 (160.1 examples/sec; 0.799 sec/batch)
step 140,loss=1.76 (349.6 examples/sec; 0.366 sec/batch)
step 150,loss=1.58 (248.0 examples/sec; 0.516 sec/batch)
step 160,loss=1.87 (176.2 examples/sec; 0.726 sec/batch)
step 170,loss=1.72 (604.0 examples/sec; 0.212 sec/batch)
step 180,loss=1.86 (145.4 examples/sec; 0.880 sec/batch)
step 190,loss=1.90 (188.4 examples/sec; 0.679 sec/batch)
step 200,loss=1.64 (429.8 examples/sec; 0.298 sec/batch)
step 210,loss=1.76 (303.9 examples/sec; 0.421 sec/batch)
step 220,loss=1.64 (316.4 examples/sec; 0.405 sec/batch)
step 230,loss=1.52 (267.5 examples/sec; 0.478 sec/batch)
step 240,loss=1.68 (90.8 examples/sec; 1.410 sec/batch)
step 250,loss=1.79 (167.8 examples/sec; 0.763 sec/batch)
step 260,loss=1.57 (100.6 examples/sec; 1.272 sec/batch)
step 270,loss=1.79 (182.1 examples/sec; 0.703 sec/batch)
step 280,loss=1.60 (325.0 examples/sec; 0.394 sec/batch)
step 290,loss=1.55 (215.4 examples/sec; 0.594 sec/batch)
step 300,loss=1.53 (231.6 examples/sec; 0.553 sec/batch)
step 310,loss=1.77 (206.7 examples/sec; 0.619 sec/batch)
step 320,loss=1.70 (455.1 examples/sec; 0.281 sec/batch)
step 330,loss=1.69 (426.9 examples/sec; 0.300 sec/batch)
step 340,loss=1.66 (162.4 examples/sec; 0.788 sec/batch)
step 350,loss=1.53 (157.0 examples/sec; 0.815 sec/batch)
step 360,loss=1.51 (380.8 examples/sec; 0.336 sec/batch)
step 370,loss=1.57 (505.2 examples/sec; 0.253 sec/batch)
step 380,loss=1.51 (320.0 examples/sec; 0.400 sec/batch)
step 390,loss=1.53 (141.8 examples/sec; 0.903 sec/batch)
step 400,loss=1.45 (244.5 examples/sec; 0.523 sec/batch)
step 410,loss=1.45 (645.9 examples/sec; 0.198 sec/batch)
step 420,loss=1.38 (190.9 examples/sec; 0.670 sec/batch)
step 430,loss=1.48 (232.4 examples/sec; 0.551 sec/batch)
step 440,loss=1.57 (248.8 examples/sec; 0.514 sec/batch)
step 450,loss=1.48 (311.8 examples/sec; 0.410 sec/batch)
step 460,loss=1.47 (352.7 examples/sec; 0.363 sec/batch)
step 470,loss=1.40 (187.0 examples/sec; 0.684 sec/batch)
step 480,loss=1.46 (212.2 examples/sec; 0.603 sec/batch)
step 490,loss=1.40 (299.0 examples/sec; 0.428 sec/batch)
step 500,loss=1.55 (220.4 examples/sec; 0.581 sec/batch)
step 510,loss=1.50 (259.3 examples/sec; 0.494 sec/batch)
step 520,loss=1.30 (231.3 examples/sec; 0.553 sec/batch)
